name,category,address_line1,address_line2,city,province,postal_code,phone,email,website,short_description_en,short_description_es,tags,lat,lng,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun
"Erie Shore Diner",restaurant,12 Erie St S,,Leamington,ON,N8H 3A1,(519) 555-0142,hello@erieshorediner.ca,erieshorediner.ca,"All-day breakfast a block from the marina.","Desayuno todo el día a una cuadra de la marina.","patio;breakfast",42.0512,-82.5993,7:00-15:00,7:00-15:00,7:00-15:00,7:00-15:00,7:00-20:00,7:00-20:00,8:00-14:00
"Erie Shore Diner",cafe,88 Talbot St W,,Leamington,ON,N8H 1M4,(519) 555-0188,,,"Second location, counter service only.",,"takeout",42.0533,-82.6081,6:30-14:00,6:30-14:00,6:30-14:00,6:30-14:00,6:30-14:00,closed,closed
"The Tomato Cup Café",cafe,33 Talbot St E,Unit 2,Leamington,ON,N8H 1L4,519-555-0110,,https://tomatocup.example.ca,"Espresso and pastries in the old post office.","Café y panadería en el antiguo correo.","wifi|patio",42.0524,-82.5975,7:00-17:00,7:00-17:00,7:00-17:00,7:00-17:00,7:00-18:00,8:00-18:00,9:00-15:00
"Panadería La Esperanza",bakery,210 Erie St N,,Leamington,ON,N8H 3B2,5195550177,,,"Pan dulce baked every morning.","Pan dulce recién hecho cada mañana.","bilingual-staff;halal",42.0601,-82.5942,closed,6:00-18:00,6:00-18:00,6:00-18:00,6:00-19:00,6:00-19:00,7:00-13:00
"Sun Parlour Greenhouses Ltd.",greenhouse,1450 Mersea Road 6,,Leamington,ON,N8H 3V7,519-555-0133,jobs@sunparlour.example,www.sunparlour.example,"Year-round greenhouse tomato grower.","Invernadero de tomate todo el año.","seasonal-hiring",42.0289,-82.5410,8:00-16:30,8:00-16:30,8:00-16:30,8:00-16:30,8:00-16:00,closed,closed
"Mario's Auto Service",auto repair,55 Oak St W,,Leamington,ON,N8H 2B7,(519) 555-0164,,,"Licensed mechanic, walk-ins welcome.",,"",42.0498,-82.6012,"8:00-12:00;13:00-17:00","8:00-12:00;13:00-17:00","8:00-12:00;13:00-17:00","8:00-12:00;13:00-17:00","8:00-12:00;13:00-16:00",closed,closed
"Mario's Auto Service",automotive,900 Seacliff Dr,,Leamington,ON,N8H 3Y5,(519) 555-0165,,,"Tires and alignment.",,"",42.0402,-82.6210,8:00-17:00,8:00-17:00,8:00-17:00,8:00-17:00,8:00-17:00,9:00-13:00,closed
"Leamington Family Dental",dental,15 Princess St,Suite 200,Leamington,ON,N8H 2X8,519 555 0199,front@lfd.example,https://lfd.example,"Family dentistry, evening appointments.","Odontología familiar, citas por la tarde.","accessible",42.0530,-82.5960,8:00-16:00,8:00-20:00,8:00-20:00,8:00-16:00,8:00-14:00,closed,closed
"Bayside Cuts & Colour",salon,72 Talbot St E,,Leamington,ON,N8H 1L7,(519) 555-0121,,baysidecuts.example,"Walk-in barbering and colour.","Barbería sin cita y tinte.","bilingual-staff",42.0526,-82.5951,closed,9:00-18:00,9:00-18:00,9:00-20:00,9:00-20:00,8:00-16:00,closed
"The Dock Taproom",restaurant,140 Erie St S,,Leamington,ON,N8H 3B6,(519) 555-0193,,thedock.example,"Late-night kitchen by the harbour.","Cocina hasta tarde junto al puerto.","patio;late-night",42.0433,-82.5991,closed,16:00-23:00,16:00-23:00,16:00-23:00,16:00-02:00,12:00-02:00,12:00-22:00
"Pelee Island Ferry Gift Shop",retail,101 Erie St S,,Leamington,ON,N8H 3B4,,,,"Souvenirs at the ferry dock.","Recuerdos en el muelle del ferry.","seasonal",42.0421,-82.5988,,,,,,,
"Casa Verde Grocery",grocery,340 Erie St S,,Leamington,ON,N8H 3C1,519-555-0150,,casaverde.example,"Latin American groceries and produce.","Abarrotes y verduras latinoamericanas.","bilingual-staff;halal",42.0455,-82.5980,8:00-21:00,8:00-21:00,8:00-21:00,8:00-21:00,8:00-22:00,8:00-22:00,9:00-20:00
"",other,,,Leamington,ON,,,,,"Row with no name — the seed skips it.",,,,,,,,,,,
